,franquicia,movie_count,ganancia_total,ganancia_promedio
193,Ice Age Collection,2,76785058.0,38392529.0
194,If I Were You Collection,2,3902735.0,1951367.5
195,Il Maresciallo Giraldi Collection,1,25434291.0,25434291.0
196,In the Name of the King Collection,1,7034007.0,7034007.0
197,Independence Day Collection,1,16491080.0,16491080.0
198,Indiana Jones Collection,3,551706763.0,183902254.33333334
199,Infernal Affairs Collection,1,162944923.0,162944923.0
200,Inspector Gadget Collection,1,10571408.0,10571408.0
201,Iron Man Collection,1,2861020.0,2861020.0
202,Jackass Collection,3,32724035.0,10908011.666666666
203,James Bond Collection,13,1483856622.0,114142817.07692307
204,Jarhead Collection,1,499168.0,499168.0
205,Jesse Stone Collection,1,124919.0,124919.0
206,Joe Dirt Collection,1,852206.0,852206.0
207,Joy Ride Collection,1,56032889.0,56032889.0
208,Ju-on Collection,1,21126225.0,21126225.0
209,Jurassic Park Collection,2,1013920758.0,506960379.0
210,Justice League (Animated) Collection,1,5300000.0,5300000.0
211,Karas The Collection,1,500000.0,500000.0
212,Karlson Collection,1,1730000.0,1730000.0
213,Keinohrhasen Filmreihe,1,119919.0,119919.0
214,Kevin Smith: Silent Bob Speaks!,2,69477371.0,34738685.5
215,Kick-Ass Collection,1,2054941.0,2054941.0
216,Kill Bill Collection,2,10826522.0,5413261.0
217,Korengal Valley Documentaries,1,851517.0,851517.0
218,Krrish Collection,1,135330182.0,135330182.0
219,Kung Fu Panda Collection,1,3964682.0,3964682.0
220,Kvartet I Collection,1,2011837.0,2011837.0
221,LEGO DC Comics Super Heroes Collection,1,641.0,641.0
222,La trilogie de la mort – Nacho Cerda,1,122550.0,122550.0
223,Lady and the Tramp Collection,1,205843612.0,205843612.0
224,Laid to Rest Collection,1,41037742.0,41037742.0
225,Le Cœur des Hommes,1,1328467.0,1328467.0
226,Le Gendarme de St. Tropez Collection,1,41424067.0,41424067.0
227,Legally Blonde Collection,1,17374595.0,17374595.0
228,Leprechaun Collection (Original Series),5,221575092.0,44315018.4
229,Les Ripoux - Trilogie,1,355298270.0,355298270.0
230,Les Tuche,1,2756.0,2756.0
231,Lethal Weapon Collection,4,192355617.0,48088904.25
232,Lilo & Stitch Collection,1,5400000.0,5400000.0
233,Lone Wolf and Cub Collection,1,140073390.0,140073390.0
234,Lonesome Dove Collection,1,1666511.0,1666511.0
235,Lost Boys Collection,1,51881013.0,51881013.0
236,Lucky Stars Collection,1,23570541.0,23570541.0
237,Machete Collection,1,95000000.0,95000000.0
238,Mad Max Collection,2,60899403.0,30449701.5
239,Major League Collection,1,793775.0,793775.0
240,Mannequin Collection,1,32222567.0,32222567.0
241,Mardock Scramble Collection,2,24054732.0,12027366.0
242,Marley & Me Collection,2,254296464.0,127148232.0
243,Meet the Parents Collection,1,102000000.0,102000000.0
244,Men In Black Collection,1,21291.0,21291.0
245,Mexico Trilogy,1,25405445.0,25405445.0
